,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
118,DKN,9/28/15,10:58 PM,BLINDSPOT,60,2.156672334,1,2.628256683
119,DKN,9/28/15,10:59 PM,BLINDSPOT,60,2.25004817,1,0
120,DKN,10/5/15,10:00 PM,BLINDSPOT,60,3.122943556,1,15.26684263
121,DKN,10/5/15,10:01 PM,BLINDSPOT,60,2.899957165,0,7.004691067
122,DKN,10/5/15,10:02 PM,BLINDSPOT,60,2.83514025,0,5.154113924
123,DKN,10/5/15,10:03 PM,BLINDSPOT,60,2.76961031,0,4.410500941
124,DKN,10/5/15,10:04 PM,BLINDSPOT,60,2.708684812,0,2.734908457
125,DKN,10/5/15,10:05 PM,BLINDSPOT,60,2.678518355,0,2.321767641
126,DKN,10/5/15,10:06 PM,BLINDSPOT,60,2.637371724,0,3.10140532
127,DKN,10/5/15,10:07 PM,BLINDSPOT,60,2.623438407,0,2.89082579
128,DKN,10/5/15,10:08 PM,BLINDSPOT,60,2.606212278,0,2.634368496
129,DKN,10/5/15,10:09 PM,BLINDSPOT,60,2.592817785,0,3.607585669
130,DKN,10/5/15,10:10 PM,BLINDSPOT,60,2.550950498,0,2.628831428
131,DKN,10/5/15,10:11 PM,BLINDSPOT,60,2.581296119,0,2.586394838
132,DKN,10/5/15,10:12 PM,BLINDSPOT,60,2.555974103,0,1.913246259
133,DKN,10/5/15,10:13 PM,BLINDSPOT,60,2.571013062,0,2.168250841
134,DKN,10/5/15,10:14 PM,BLINDSPOT,60,2.555789638,0,1.793091713
135,DKN,10/5/15,10:15 PM,BLINDSPOT,60,2.547655338,0,1.936248973
136,DKN,10/5/15,10:16 PM,BLINDSPOT,60,2.543218163,0,2.176661232
137,DKN,10/5/15,10:17 PM,BLINDSPOT,60,2.497260287,1,9.283010809
138,DKN,10/5/15,10:18 PM,BLINDSPOT,60,2.282294505,1,3.777659183
139,DKN,10/5/15,10:19 PM,BLINDSPOT,60,2.251726089,1,2.397306549
140,DKN,10/5/15,10:20 PM,BLINDSPOT,60,2.246364775,1,2.070082184
141,DKN,10/5/15,10:21 PM,BLINDSPOT,60,2.332872855,0,1.262734783
142,DKN,10/5/15,10:22 PM,BLINDSPOT,60,2.416523481,0,1.476640063
143,DKN,10/5/15,10:23 PM,BLINDSPOT,60,2.439342523,0,2.182622573
144,DKN,10/5/15,10:24 PM,BLINDSPOT,60,2.443866131,0,1.91239876
145,DKN,10/5/15,10:25 PM,BLINDSPOT,60,2.449650087,0,1.721679903
146,DKN,10/5/15,10:26 PM,BLINDSPOT,60,2.4457063,0,0.898559972
147,DKN,10/5/15,10:27 PM,BLINDSPOT,60,2.457650385,0,2.72001824
148,DKN,10/5/15,10:28 PM,BLINDSPOT,60,2.401308279,0,0.882793809
149,DKN,10/5/15,10:29 PM,BLINDSPOT,60,2.405816591,1,8.614647445
150,DKN,10/5/15,10:30 PM,BLINDSPOT,60,2.221640352,1,3.814469691
151,DKN,10/5/15,10:31 PM,BLINDSPOT,60,2.167652201,1,2.590125017
152,DKN,10/5/15,10:32 PM,BLINDSPOT,60,2.179200454,0,2.572424087
153,DKN,10/5/15,10:33 PM,BLINDSPOT,60,2.211198838,0,2.628667325
154,DKN,10/5/15,10:34 PM,BLINDSPOT,60,2.30166778,0,1.962765059
155,DKN,10/5/15,10:35 PM,BLINDSPOT,60,2.33344802,0,1.422549851
156,DKN,10/5/15,10:36 PM,BLINDSPOT,60,2.317854028,0,1.665423882
157,DKN,10/5/15,10:37 PM,BLINDSPOT,60,2.346208054,0,1.668363321
158,DKN,10/5/15,10:38 PM,BLINDSPOT,60,2.346648241,1,10.43058236
159,DKN,10/5/15,10:39 PM,BLINDSPOT,60,2.116855318,1,2.243515369
160,DKN,10/5/15,10:40 PM,BLINDSPOT,60,2.138179312,1,2.656887709
161,DKN,10/5/15,10:41 PM,BLINDSPOT,60,2.158386014,1,2.068718365
162,DKN,10/5/15,10:42 PM,BLINDSPOT,60,2.205489595,1,1.877295176
163,DKN,10/5/15,10:43 PM,BLINDSPOT,60,2.283820474,0,1.18914044
164,DKN,10/5/15,10:44 PM,BLINDSPOT,60,2.307674861,0,0.718670537
165,DKN,10/5/15,10:45 PM,BLINDSPOT,60,2.357182272,0,1.749842225
166,DKN,10/5/15,10:46 PM,BLINDSPOT,60,2.325807736,0,1.820534449
167,DKN,10/5/15,10:47 PM,BLINDSPOT,60,2.317488099,0,3.51202424
168,DKN,10/5/15,10:48 PM,BLINDSPOT,60,2.254541257,1,6.961133412
169,DKN,10/5/15,10:49 PM,BLINDSPOT,60,2.107887242,1,2.044448214
170,DKN,10/5/15,10:50 PM,BLINDSPOT,60,2.118026818,1,1.480870063
171,DKN,10/5/15,10:51 PM,BLINDSPOT,60,2.196978589,1,2.770838131
172,DKN,10/5/15,10:52 PM,BLINDSPOT,60,2.205954276,1,1.846996286
173,DKN,10/5/15,10:53 PM,BLINDSPOT,60,2.223217662,0,1.281433345
174,DKN,10/5/15,10:54 PM,BLINDSPOT,60,2.239406583,0,0.688790629
175,DKN,10/5/15,10:55 PM,BLINDSPOT,60,2.256753174,0,0.991905146
176,DKN,10/5/15,10:56 PM,BLINDSPOT,60,2.257297411,0,1.177146757
177,DKN,10/5/15,10:57 PM,BLINDSPOT,60,2.280624931,1,9.135047392
178,DKN,10/5/15,10:58 PM,BLINDSPOT,60,2.121530819,1,2.242626086
